title,description,author,gender
Se inscrevam no canal do autor,É só de meme mesmo,216,186
A casa estrelada,"Inspirador, corajoso, irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",1,1
A casa estrelada,"Inspirador, corajoso, irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",1,1
Como Procurar um Cachorro Perdido,"Um drama sobre uma garotinha autista que perde seu cachorro, e precisa lidar com a vida sem ele",222,84
Bahia.,"romance, terror,paz",230,213
A Herança das Bruxas: O Despertar das Sombras Profundas,"No segundo volume da série, os segredos ocultos nas raízes da Terra começam a se revelar com intensidade. À medida que antigas forças ancestrais despertam, as bruxas devem enfrentar um inimigo ainda mais sombrio e poderoso, cuja presença ameaça desequilibrar o mundo natural. Feitiços proibidos, alianças inesperadas e a luta pela sobrevivência em um cenário místico e perigoso marcam esta nova fase da jornada. O Despertar das Sombras Profundas leva os leitores a um universo onde o poder, a magia e o destino se entrelaçam em um jogo de luz e escuridão.",226,216
Os Espíritos do Lago,"Os Espíritos do Lago é uma narrativa de terror que mistura lendas locais com uma investigação sobrenatural. Ricardo, um geólogo, é enviado para estudar a formação de um lago isolado em uma região remota. No entanto, o que deveria ser uma simples expedição científica logo se transforma em um pesadelo, quando ele começa a ouvir vozes e ver sombras no fundo do lago. Ao pesquisar a história do lugar, ele descobre que as águas são o lar de espíritos vingativos que buscam capturar qualquer um que ouse descobrir seus segredos.",220,209
A Cidade Sombria,"A Cidade Sombria é um thriller psicológico que segue Gabriel, um fotógrafo que decide visitar uma cidade fantasma conhecida por suas lendas de desaparecimentos misteriosos. Quando ele chega, descobre que a cidade parece estar presa no tempo, com seus habitantes relutantes em falar sobre o que aconteceu. À medida que Gabriel se infiltra mais fundo nos mistérios da cidade, ele percebe que não há como escapar das forças sombrias que a controlam e que ele está sendo observado por olhos que nunca devem ser vistos.",220,209
O Castelo Animado,Uma aventura fantástica sobre uma casa com pernas,222,83
A Mulher de Gelo,"A Mulher de Gelo é uma história de terror que mistura mistério e o sobrenatural. Quando a jovem Isabel encontra uma misteriosa mulher congelada em uma geleira durante uma expedição científica no Ártico, ela logo se vê envolta em uma série de eventos paranormais. A mulher, que parece estar viva apesar de sua condição, começa a se comunicar com Isabel em sonhos e visões. À medida que a verdade sobre a mulher de gelo é revelada, Isabel percebe que está lidando com uma entidade que não só desafia a morte, mas também manipula o destino das pessoas ao seu redor.",220,209
A Lenda do Vento Fantasma,"A Lenda do Vento Fantasma é uma história de terror ambientada em uma ilha isolada, onde os ventos carregam lendas de um espírito vingativo. Quando Alex, um jovem arqueólogo, vai até a ilha para estudar ruínas antigas, ele descobre que os moradores locais vivem com medo de uma presença sobrenatural que assola a ilha. Quando o vento começa a uivar à noite, ele começa a perceber que as histórias são mais reais do que ele imaginava, e ele deve enfrentar os terrores do passado para sobreviver.",220,209
O Cemitério das Almas,"O Cemitério das Almas segue a história de Rafael, um jornalista que investiga uma série de desaparecimentos em um antigo cemitério no interior. Ao se aprofundar nas histórias dos mortos enterrados ali, ele começa a perceber que suas almas não estão em paz. Durante a noite, ele ouve os sussurros e vê as sombras se moverem, e logo percebe que ele também se tornou alvo das entidades que habitam o cemitério. Com sua sanidade ameaçada, Rafael precisa descobrir uma forma de escapar da maldição antes que ele se torne uma alma perdida.",220,209
A Estrada do Inferno,"A Estrada do Inferno é uma narrativa de terror psicológico onde uma viagem aparentemente comum se torna um pesadelo. Quando Júlio e sua esposa decidem viajar por uma estrada deserta, eles acabam se perdendo em uma região desconhecida. À medida que a noite cai, eles começam a perceber que a estrada não os leva para nenhum lugar, mas para uma dimensão onde o tempo e o espaço se distorcem. A cada curva, eles se aproximam mais de uma força sobrenatural que quer aprisioná-los ali para sempre.",220,209
A maluca dos livros.,O curiso caso da meina que criou 30 mil lvros.,246,219
Se inscrevam no canal do autor,É só de meme mesmo,1,9
Se inscrevam no canal do autor,É só de meme mesmo,1,9
Jony e os jhonis,Mega equipe,238,203
Atração Magnética: Como Criar a Vida que Você Deseja,"Neste guia prático e inspirador, você aprenderá a aplicar a poderosa Lei da Atração para transformar seus pensamentos e criar a realidade que sempre desejou. Através de exercícios simples, técnicas comprovadas e insights profundos, Atração Magnética ensina como alinhar sua energia, intenções e atitudes com o que você quer atrair para sua vida. Descubra como desbloquear seu potencial interior, manifestar seus sonhos e viver com mais abundância, paz e propósito. Este livro é um convite para tomar as rédeas do seu destino e começar a viver de forma mais consciente e positiva.",226,221
A menina que odiava postman,"Nina, uma adolescente sarcástica e avessa à tecnologia, nutre um ódio irracional pelo Postman — a famosa ferramenta de APIs. Quando um projeto escolar a obriga a usá-lo, ela precisa enfrentar não só suas inseguranças técnicas, mas também fantasmas do passado que explicam sua resistência. Entre falhas de requisição e conexões inesperadas, Nina descobre que nem todo erro é fatal — e que até os códigos mais complicados podem ter solução.",248,78
a queda,a queda de energia que a ilhabela tem sempre que chove,249,222
Mar VIVO,"O livro trata, da vida e morte do personagem Guma, que o autor descreve como sendo uma história que se conta nos cais baianos, uma lenda, como ele mesmo diz no final do livro: ""assim contam os homens do mar"".[Team Fênix]",29,25
Dione e Diony,Livro de aventura.,1,2
Diones.,Qualidade 2025,214,2
Livro do Lucas,Testando em casa,245,217
Livro do Lucas,Testando em casa,250,223
Sextou,O melhor dia da semana,9,4
Sextou,O melhor dia da semana,251,224
Analise dos QAs,Um guia rapido para iniciantes,231,197
Analise de QAs nos dias atuais,Um guia rapido para iniciantes,231,197
Corram que o Java vem aí!,Edição de exemplo,78,68
Corram que o Java vem aí!,Edição de exemplo,78,68
Palmeiras,Sem Descrição,252,225
Palmeiras Novamente,Descrição restrita,252,225
Palmeiras pela terceira vez,Not Found,252,225
Palmeiras pela terceira vez,Not Found,243,225
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Livro 4,Descrição do Livro 2025,228,4
A volta do selenium,é uma obra livre para estudos,257,233
A volta dos que não foram,Este Livro conta com testes dentro do postman,259,232
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Tarefa - Squad 3,Descrição para a tarefa do squad 3,256,231
Livro hoje,Descrição do Livro de hoje,261,235
Livro,Suzan,236,234
Livro QA,Teste api,263,238
COMMITINDO CRIMES O RETORNO!,time.sleep>Webdriverwait,264,239
